Run ID,Timestamp (ms),I0,I1,Q0,Q1
0,1,0,0,1,0
0,77,0,0,1,0
0,222,0,0,1,0
0,341,0,0,1,0
0,431,0,0,1,0
0,574,0,0,1,0
0,679,0,0,1,0
0,799,0,0,1,0
0,919,0,0,1,0
0,1064,0,0,1,0
0,1177,0,0,1,0
0,1328,0,0,1,0
0,1409,0,0,1,0
0,1498,0,0,1,0
0,1622,1,0,0,1
0,1741,1,0,0,1
0,1879,1,0,0,1
0,2016,1,0,0,1
0,2136,1,0,0,1
0,2265,1,0,0,1
0,2415,1,0,0,1
0,2476,0,0,0,1
0,2632,0,0,1,1
0,2784,0,0,1,1
0,2945,0,0,1,1
0,3067,0,0,1,1
0,3164,0,0,1,1
0,3228,0,0,1,1
0,3354,0,0,1,1
0,3470,0,0,1,1
0,3567,0,0,1,1
0,3633,0,0,1,1
0,3785,0,1,1,1
0,3881,0,1,1,0
0,3954,0,1,1,0
0,4028,0,1,1,0
0,4131,0,1,1,0
0,4204,0,1,1,0
0,4310,0,1,1,0
0,4373,0,1,1,0
0,4494,0,1,1,0
0,4575,0,0,1,0
0,4688,0,0,1,0
0,4827,0,0,1,0
0,4889,0,0,1,0
0,4945,0,0,1,0
0,5005,0,0,1,0
0,5150,0,0,1,0
0,5279,0,0,1,0
0,5372,0,0,1,0
0,5485,0,0,1,0
0,5622,0,0,1,0
0,5743,0,0,1,0
0,5904,0,0,1,0
0,6001,0,0,1,0
0,6130,0,0,1,0
0,6280,0,0,1,0
0,6381,0,0,1,0
0,6512,0,0,1,0
0,6592,0,0,1,0
0,6673,0,0,1,0
0,6795,1,1,1,0
0,6926,1,1,0,0
0,7058,1,1,0,0
0,7123,1,1,0,0
0,7220,1,1,0,0
0,7325,1,1,0,0
0,7416,1,1,0,0
0,7567,1,1,0,0
0,7680,1,1,0,0
0,7786,1,1,0,0
0,7939,1,1,0,0
0,8004,1,1,0,0
0,8148,1,1,0,0
0,8254,1,1,0,0
0,8359,1,1,0,0
0,8424,1,1,0,0
0,8546,1,1,0,0
0,8636,1,1,0,0
0,8740,1,0,0,0
0,8860,0,1,0,1
0,8964,0,1,1,0
0,9069,0,1,1,0
0,9173,0,1,1,0
0,9281,0,1,1,0
0,9362,0,1,1,0
0,9506,0,1,1,0
0,9619,0,1,1,0
0,9758,0,1,1,0
0,9879,0,1,1,0
0,9935,0,1,1,0
0,10048,0,1,1,0
0,10178,0,1,1,0
0,10267,0,1,1,0
0,10380,0,1,1,0
0,10526,0,1,1,0
0,10590,0,1,1,0
0,10711,0,1,1,0
0,10833,0,1,1,0
0,10926,0,1,1,0
0,11039,0,1,1,0
0,11160,0,1,1,0
0,11225,0,1,1,0
0,11305,0,1,1,0
0,11427,0,1,1,0
0,11495,0,1,1,0
0,11572,1,0,1,0
0,11701,1,0,1,0
0,11854,1,0,0,1
0,11939,1,0,0,1
0,12031,1,0,0,1
0,12159,1,0,0,1
0,12284,1,0,0,1
0,12357,1,0,0,1
0,12422,1,0,0,1
0,12519,1,0,0,1
0,12646,0,1,0,1
0,12744,0,1,1,0
0,12855,0,1,1,0
0,12934,0,1,1,0
0,13007,0,1,1,0
0,13143,0,1,1,0
0,13200,0,1,1,0
0,13304,0,1,1,0
0,13394,0,1,1,0
0,13474,0,1,1,0
0,13586,0,1,1,0
0,13734,1,0,1,0
0,13838,1,0,0,1
0,13911,1,0,0,1
0,14008,1,0,0,1
0,14104,1,0,0,1
0,14247,1,0,0,1
0,14385,1,0,0,1
0,14522,1,0,0,1
0,14597,1,0,0,1
0,14731,1,0,0,1
0,14862,1,0,0,1
0,14967,1,0,0,1
